. Sequence file : [Muscle_ACT1_Complete_sequence_for_phylogeny.fasta.alter.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

      	     	          	           	          	           	             	                                      	 0.15059  -1.10759   0.06556   0.89144  
      	     	          	           	          	           	             	                                      	 0.69395   0.05896  -1.03081   0.27791  
      	     	          	           	          	           	             	                                      	 0.13353   0.69422   0.24063  -1.06838  

  #39	20   	-3261.96812	Yes        	8        	6.438    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.76190   0.07428   0.52657   0.16104  
      	     	          	           	          	           	             	                                      	 0.09830  -1.16237   0.05547   1.00861  
      	     	          	           	          	           	             	                                      	 0.62670   0.04989  -0.93502   0.25842  
      	     	          	           	          	           	             	                                      	 0.16596   0.78546   0.22376  -1.17517  

  #40	20   	-3112.59813	Yes        	8        	2745.556    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.78640   0.12884   0.60674   0.05082  
      	     	          	           	          	           	             	                                      	 0.17049  -1.30619   0.09152   1.04418  
      	     	          	           	          	           	             	                                      	 0.72212   0.08231  -0.96928   0.16485  
      	     	          	           	          	           	             	                                      	 0.05237   0.81317   0.14273  -1.00827  

  #41	20   	-3211.31451	Yes        	8        	1393.569    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.79493   0.10250   0.60182   0.09062  
      	     	          	           	          	           	             	                                      	 0.13563  -1.13210   0.07887   0.91760  
      	     	          	           	          	           	             	                                      	 0.71625   0.07094  -1.06711   0.27992  
      	     	          	           	          	           	             	                                      	 0.09338   0.71459   0.24237  -1.05034  

  #42	20   	-3184.11747	Yes        	8        	1548.625    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.77191   0.10569   0.56623   0.09999  
      	     	          	           	          	           	             	                                      	 0.13986  -1.21155   0.13716   0.93453  
      	     	          	           	          	           	             	                                      	 0.67390   0.12336  -1.03693   0.23967  
      	     	          	           	          	           	             	                                      	 0.10304   0.72777   0.20752  -1.03833  

  #43	20   	-3299.32881	Yes        	8        	15.769    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.77179   0.10241   0.52306   0.14631  
      	     	          	           	          	           	             	                                      	 0.13552  -1.24844   0.09697   1.01595  
      	     	          	           	          	           	             	                                      	 0.62252   0.08721  -0.91247   0.20273  
      	     	          	           	          	           	             	                                      	 0.15078   0.79118   0.17553  -1.11749  

  #44	20   	-3342.66038	Yes        	8        	715.271    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.72692   0.07169   0.54486   0.11036  
      	     	          	           	          	           	             	                                      	 0.09487  -1.22284   0.10559   1.02237  
      	     	          	           	          	           	             	                                      	 0.64847   0.09497  -0.98604   0.24260  
      	     	          	           	          	           	             	                                      	 0.11373   0.79618   0.21005  -1.11996  

  #45	20   	-3163.46454	Yes        	8        	3.156    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.74342   0.07234   0.58197   0.08911  
      	     	          	           	          	           	             	                                      	 0.09572  -1.21879   0.05275   1.07032  
      	     	          	           	          	           	             	                                      	 0.69263   0.04744  -0.96744   0.22737  
      	     	          	           	          	           	             	                                      	 0.09183   0.83352   0.19687  -1.12222  

  #46	20   	-3261.89921	Yes        	8        	2507.500    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.76263   0.06835   0.47898   0.21530  
      	     	          	           	          	           	             	                                      	 0.09044  -1.11804   0.08027   0.94732  
      	     	          	           	          	           	             	                                      	 0.57006   0.07220  -0.93263   0.29038  
      	     	          	           	          	           	             	                                      	 0.22187   0.73773   0.25142  -1.21102  

  #47	20   	-3275.15168	Yes        	8        	12.615    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.68004   0.07736   0.48884   0.11384  
      	     	          	           	          	           	             	                                      	 0.10236  -1.20204   0.03628   1.06339  
      	     	          	           	          	           	             	                                      	 0.58180   0.03263  -0.93827   0.32384  
      	     	          	           	          	           	             	                                      	 0.11731   0.82813   0.28040  -1.22584  

  #48	20   	-3243.80610	Yes        	8        	699.070    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.87253   0.06938   0.66002   0.14313  
      	     	          	           	          	           	             	                                      	 0.09181  -1.10999   0.07088   0.94730  
      	     	          	           	          	           	             	                                      	 0.78553   0.06375  -1.01732   0.16804  
      	     	          	           	          	           	             	                                      	 0.14749   0.73772   0.14550  -1.03071  

  #49	20   	-3377.49867	Yes        	8        	1263.821    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.72424   0.05961   0.52909   0.13553  
      	     	          	           	          	           	             	                                      	 0.07888  -1.34437   0.15913   1.10636  
      	     	          	           	          	           	             	                                      	 0.62970   0.14313  -0.89492   0.12210  
      	     	          	           	          	           	             	                                      	 0.13967   0.86159   0.10572  -1.10697  

  #50	20   	-3115.83510	Yes        	8        	1376.842    	0.622    	 0.28040   0.21190   0.23560   0.27210	-0.78002   0.10443   0.57762   0.09797  
      	     	          	           	          	           	             	                                      	 0.13818  -1.22669   0.06139   1.02712  
