. Sequence file : [Muscle_ACT1_Exon2_for_phylogeny.fasta.alter2.phy]

. Model of nucleotides substitution : Custom

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #40	104   	-5838.16202	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.70306   0.11526   0.41502   0.17278  
      	     	          	           	          	           	             	                                      	 0.14361  -1.36469   0.11840   1.10268  
      	     	          	           	          	           	             	                                      	 0.47210   0.10810  -0.78785   0.20766  
      	     	          	           	          	           	             	                                      	 0.16461   0.84318   0.17392  -1.18172  

  #41	104   	-5807.81276	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.78237   0.10240   0.43759   0.24238  
      	     	          	           	          	           	             	                                      	 0.12759  -1.33689   0.13967   1.06963  
      	     	          	           	          	           	             	                                      	 0.49777   0.12752  -0.75349   0.12820  
      	     	          	           	          	           	             	                                      	 0.23092   0.81791   0.10737  -1.15620  

  #42	104   	-5796.91670	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.70202   0.07764   0.47097   0.15341  
      	     	          	           	          	           	             	                                      	 0.09673  -1.35027   0.12541   1.12812  
      	     	          	           	          	           	             	                                      	 0.53574   0.11450  -0.82946   0.17922  
      	     	          	           	          	           	             	                                      	 0.14616   0.86263   0.15010  -1.15889  

  #43	104   	-6105.16445	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.89721   0.11575   0.54282   0.23864  
      	     	          	           	          	           	             	                                      	 0.14421  -1.15624   0.07932   0.93270  
      	     	          	           	          	           	             	                                      	 0.61747   0.07242  -0.86757   0.17768  
      	     	          	           	          	           	             	                                      	 0.22736   0.71321   0.14881  -1.08937  

  #44	104   	-5858.44097	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.90652   0.09021   0.59507   0.22124  
      	     	          	           	          	           	             	                                      	 0.11239  -1.13915   0.14210   0.88466  
      	     	          	           	          	           	             	                                      	 0.67691   0.12973  -0.96028   0.15364  
      	     	          	           	          	           	             	                                      	 0.21078   0.67647   0.12868  -1.01592  

  #45	104   	-5909.60299	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.84789   0.08063   0.54463   0.22263  
      	     	          	           	          	           	             	                                      	 0.10046  -1.22665   0.11134   1.01485  
      	     	          	           	          	           	             	                                      	 0.61953   0.10165  -0.85073   0.12955  
      	     	          	           	          	           	             	                                      	 0.21211   0.77602   0.10850  -1.09663  

  #46	104   	-5788.36724	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.78359   0.04561   0.49329   0.24469  
      	     	          	           	          	           	             	                                      	 0.05682  -1.18982   0.11282   1.02018  
      	     	          	           	          	           	             	                                      	 0.56112   0.10300  -0.86060   0.19648  
      	     	          	           	          	           	             	                                      	 0.23312   0.78010   0.16456  -1.17778  

  #47	104   	-5792.79901	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.60917   0.06888   0.36810   0.17219  
      	     	          	           	          	           	             	                                      	 0.08582  -1.47069   0.09379   1.29107  
      	     	          	           	          	           	             	                                      	 0.41872   0.08563  -0.66928   0.16493  
      	     	          	           	          	           	             	                                      	 0.16405   0.98724   0.13813  -1.28942  

  #48	104   	-6207.17625	Yes        	8        	0.227    	0.000    	 0.26800   0.21510   0.23560   0.28130	-0.79620   0.11278   0.50218   0.18123  
      	     	          	           	          	           	             	                                      	 0.14052  -1.26447   0.10909   1.01486  
      	     	          	           	          	           	             	                                      	 0.57124   0.09960  -0.86123   0.19040  
      	     	          	           	          	           	             	                                      	 0.17267   0.77603   0.15947  -1.10816  

